"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1430","MiamiHeat","MinnesotaTimberwolves",91,103,0,2015-11-17,194,1,1,92,0,1,106,0,0,183,220,0,"Nov",161
"1431","NewYorkKnicks","CharlotteHornets",102,94,0,2015-11-17,196,1,1,95,1,1,106,0,0,182,200,0,"Nov",161
"1432","NewOrleansPelicans","DenverNuggets",98,115,0,2015-11-17,213,0,0,87,0,0,81,0,0,182,186,0,"Nov",161
"1433","GoldenStateWarriors","TorontoRaptors",115,110,0,2015-11-17,225,1,1,107,0,0,101,1,0,206,208,1,"Nov",161
"1434","CharlotteHornets","BrooklynNets",116,111,0,2015-11-18,227,0,0,94,1,1,90,0,0,196,178,0,"Nov",169.5
"1435","OrlandoMagic","MinnesotaTimberwolves",104,101,1,2015-11-18,205,0,0,99,1,0,103,0,0,207,194,0,"Nov",169.5
"1436","PhiladelphiaErs","IndianaPacers",85,112,0,2015-11-18,197,0,1,86,0,0,95,0,0,178,191,0,"Nov",169.5
"1437","BostonCeltics","DallasMavericks",102,106,0,2015-11-18,208,1,0,111,1,0,92,0,0,206,178,0,"Nov",169.5
"1438","AtlantaHawks","SacramentoKings",103,97,0,2015-11-18,200,0,0,88,1,1,107,0,0,178,208,0,"Nov",169.5
"1439","HoustonRockets","PortlandTrailBlazers",108,103,1,2015-11-18,211,0,1,95,0,0,80,0,0,206,173,0,"Nov",169.5
"1440","OklahomaCityThunder","NewOrleansPelicans",110,103,0,2015-11-18,213,0,0,114,0,1,98,0,0,236,213,0,"Nov",169.5
"1441","SanAntonioSpurs","DenverNuggets",109,98,0,2015-11-18,207,1,1,93,1,0,115,0,0,173,213,0,"Nov",169.5
"1442","UtahJazz","TorontoRaptors",93,89,0,2015-11-18,182,1,0,97,0,0,110,0,0,193,225,0,"Nov",169.5
"1443","PhoenixSuns","ChicagoBulls",97,103,0,2015-11-18,200,1,1,120,1,1,96,0,0,221,191,0,"Nov",169.5
"1444","MiamiHeat","SacramentoKings",116,109,0,2015-11-19,225,0,1,91,0,0,97,0,0,194,200,0,"Nov",176
"1445","ClevelandCavaliers","MilwaukeeBucks",115,100,0,2015-11-19,215,0,0,99,0,0,86,0,0,203,201,0,"Nov",176
"1446","LosAngelesClippers","GoldenStateWarriors",117,124,0,2015-11-19,241,1,1,101,1,1,115,0,0,197,225,0,"Nov",176
"1447","CharlotteHornets","PhiladelphiaErs",113,88,0,2015-11-20,201,1,1,116,0,1,85,0,0,227,197,0,"Nov",183
"1448","BostonCeltics","BrooklynNets",120,95,0,2015-11-20,215,0,1,102,0,0,111,0,0,208,227,0,"Nov",183
"1449","MemphisGrizzlies","HoustonRockets",96,84,0,2015-11-20,180,1,1,122,1,1,108,0,1,236,211,0,"Nov",183
"1450","MinnesotaTimberwolves","DetroitPistons",86,96,0,2015-11-20,182,0,0,101,1,1,104,1,0,205,203,1,"Nov",183
"1451","NewOrleansPelicans","SanAntonioSpurs",104,90,0,2015-11-20,194,0,0,103,1,1,109,0,0,213,207,0,"Nov",183
"1452","OklahomaCityThunder","NewYorkKnicks",90,93,0,2015-11-20,183,1,1,110,1,1,102,0,0,213,196,0,"Nov",183
"1453","DallasMavericks","UtahJazz",102,93,0,2015-11-20,195,1,0,106,1,1,93,0,0,208,182,0,"Nov",183
"1454","DenverNuggets","PhoenixSuns",107,114,0,2015-11-20,221,0,0,98,0,1,97,0,0,207,200,0,"Nov",183
"1455","PortlandTrailBlazers","LosAngelesClippers",102,91,0,2015-11-20,193,0,0,103,0,1,117,1,0,211,241,1,"Nov",183
"1456","GoldenStateWarriors","ChicagoBulls",106,94,0,2015-11-20,200,1,0,124,1,0,103,0,0,241,200,0,"Nov",183
"1457","LosAngelesLakers","TorontoRaptors",91,102,0,2015-11-20,193,0,0,101,0,0,89,0,0,221,182,0,"Nov",183
"1458","OrlandoMagic","SacramentoKings",91,97,0,2015-11-21,188,1,1,104,0,0,109,1,0,205,225,1,"Nov",192
"1459","IndianaPacers","MilwaukeeBucks",123,86,0,2015-11-21,209,1,0,112,0,0,100,0,0,197,215,0,"Nov",192
"1460","ClevelandCavaliers","AtlantaHawks",109,97,0,2015-11-21,206,1,1,115,1,1,103,0,0,215,200,0,"Nov",192
"1461","DetroitPistons","WashingtonWizards",95,97,0,2015-11-21,192,1,0,96,1,1,115,0,0,182,201,0,"Nov",192
"1462","MiamiHeat","PhiladelphiaErs",96,91,0,2015-11-21,187,1,1,116,0,0,88,0,0,225,201,0,"Nov",192
"1463","HoustonRockets","NewYorkKnicks",102,107,0,2015-11-21,209,0,0,84,1,0,93,0,0,180,183,0,"Nov",192
"1464","SanAntonioSpurs","MemphisGrizzlies",92,82,0,2015-11-21,174,0,0,90,1,1,96,0,0,194,180,0,"Nov",192
"1465","LosAngelesClippers","TorontoRaptors",80,91,0,2015-11-22,171,0,0,91,1,0,102,0,0,193,193,0,"Nov",198.5
