,gospodarz,gosc,daty,daty_fac,predykcja
351,PortlandTrailBlazers,SanAntonioSpurs,747,380,209.835756208137
352,MiamiHeat,SanAntonioSpurs,747,380,219.034209861671
353,OklahomaCityThunder,SanAntonioSpurs,747,380,209.105581726009
354,TorontoRaptors,SanAntonioSpurs,747,380,209.745770263331
355,PhoenixSuns,SanAntonioSpurs,747,380,218.752062126964
356,SacramentoKings,SanAntonioSpurs,747,380,208.899525534028
357,HoustonRockets,SanAntonioSpurs,747,380,201.789419481784
358,MilwaukeeBucks,SanAntonioSpurs,747,380,214.420367137145
359,OrlandoMagic,SanAntonioSpurs,747,380,198.162536167408
360,BostonCeltics,SanAntonioSpurs,747,380,204.035520536487
361,DetroitPistons,DallasMavericks,747,380,194.256387978379
362,ClevelandCavaliers,DallasMavericks,747,380,214.469325213124
363,NewOrleansPelicans,DallasMavericks,747,380,224.622097477711
364,WashingtonWizards,DallasMavericks,747,380,221.626817156102
365,PhiladelphiaErs,DallasMavericks,747,380,191.034799040804
366,ChicagoBulls,DallasMavericks,747,380,185.527524171061
367,UtahJazz,DallasMavericks,747,380,196.475027897624
368,CharlotteHornets,DallasMavericks,747,380,200.440225734155
369,IndianaPacers,DallasMavericks,747,380,227.349584451941
370,DenverNuggets,DallasMavericks,747,380,215.609219160881
371,NewYorkKnicks,DallasMavericks,747,380,193.276835754519
372,SanAntonioSpurs,DallasMavericks,747,380,197.119443048949
373,DallasMavericks,DallasMavericks,747,380,221.402587966542
374,LosAngelesClippers,DallasMavericks,747,380,203.276521942003
375,MinnesotaTimberwolves,DallasMavericks,747,380,191.542664338745
376,MemphisGrizzlies,DallasMavericks,747,380,205.099015120292
377,AtlantaHawks,DallasMavericks,747,380,208.591031986523
378,BrooklynNets,DallasMavericks,747,380,232.751079120854
379,GoldenStateWarriors,DallasMavericks,747,380,232.045711345418
380,LosAngelesLakers,DallasMavericks,747,380,201.084051706347
381,PortlandTrailBlazers,DallasMavericks,747,380,217.480237517737
382,MiamiHeat,DallasMavericks,747,380,198.114822607969
383,OklahomaCityThunder,DallasMavericks,747,380,208.896969301788
384,TorontoRaptors,DallasMavericks,747,380,196.802003209051
385,PhoenixSuns,DallasMavericks,747,380,226.81150664233
386,SacramentoKings,DallasMavericks,747,380,220.420367137146
387,HoustonRockets,DallasMavericks,747,380,207.380729333058
388,MilwaukeeBucks,DallasMavericks,747,380,209.032833028585
389,OrlandoMagic,DallasMavericks,747,380,205.202121044877
390,BostonCeltics,DallasMavericks,747,380,198.40050854014
391,DetroitPistons,LosAngelesClippers,747,380,214.145888099159
