"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"254","AtlantaHawks","BostonCeltics",109,105,0,2014-12-02,214,1,1,105,0,1,89,0,0,180,0
"255","DetroitPistons","LosAngelesLakers",96,106,0,2014-12-02,202,0,1,93,1,1,129,0,1,197,0
"256","NewYorkKnicks","BrooklynNets",93,98,0,2014-12-02,191,0,1,79,0,1,84,0,0,165,0
"257","ChicagoBulls","DallasMavericks",129,132,2,2014-12-02,261,1,0,102,1,0,110,0,0,186,0
"258","NewOrleansPelicans","OklahomaCityThunder",112,104,0,2014-12-02,216,0,0,80,1,1,105,0,0,163,0
"259","DenverNuggets","PortlandTrailBlazers",103,105,0,2014-12-02,208,1,0,103,1,1,107,0,0,204,0
"260","PhoenixSuns","IndianaPacers",116,99,0,2014-12-02,215,0,1,90,0,0,97,0,0,183,0
"261","SacramentoKings","TorontoRaptors",109,117,0,2014-12-02,226,0,1,85,0,0,122,0,1,182,0
"262","GoldenStateWarriors","OrlandoMagic",98,97,0,2014-12-02,195,1,0,104,1,0,93,0,0,197,0
"263","CharlotteHornets","ChicagoBulls",95,102,0,2014-12-03,197,0,0,75,0,1,129,0,2,180,0
"264","WashingtonWizards","LosAngelesLakers",111,95,0,2014-12-03,206,1,1,107,1,0,106,0,0,193,0
"265","BostonCeltics","DetroitPistons",109,102,1,2014-12-03,211,0,0,105,0,1,96,0,0,214,0
"266","BrooklynNets","SanAntonioSpurs",95,93,1,2014-12-03,188,1,0,98,1,0,109,0,0,191,0
"267","MiamiHeat","AtlantaHawks",102,112,0,2014-12-03,214,0,0,86,1,1,109,0,0,193,0
"268","HoustonRockets","MemphisGrizzlies",105,96,0,2014-12-03,201,1,0,117,1,0,97,0,0,220,0
"269","MilwaukeeBucks","DallasMavericks",105,107,0,2014-12-03,212,0,0,108,1,0,132,0,2,219,0
"270","MinnesotaTimberwolves","PhiladelphiaErs",77,85,0,2014-12-03,162,0,0,101,0,1,103,0,0,228,0
"271","UtahJazz","TorontoRaptors",104,123,0,2014-12-03,227,0,1,101,1,0,117,0,0,204,0
